id	filename	md5	size	state
96d5d761-2c57-4695-be39-727d2b9fab31	unc.edu.ee7156b6-f469-402c-8f63-f4c2f6913db1.1141300.junction_quantification.txt	cb954081660120c97046f89bb00895c9	9000668	live
7a79d70f-dbae-4637-9a93-d238edc64fc0	unc.edu.53e9749e-5554-443b-b41e-5efade6fce7a.1120629.rsem.genes.results	b4f7a8df0ac65deed97379d9b7772a17	1523413	live
7d5e68db-b5f0-4a75-baf4-2f0655fec38c	UNCID_469459.TCGA-B6-A0IN-01A-11R-A034-07.110503_UNC12-SN629_0080_BC011MABXX.5.trimmed.annotated.gene.quantification.txt	08f2a8cae24c2d0f987b8f238525f6eb	1002984	live
434356ee-1226-4707-8f43-0e87a4676287	unc.edu.6eaf6c1c-13d6-4293-aaa5-7d9aecf61db7.1762726.bt.exon_quantification.txt	199c7e1e101d96808506628f9741c816	12567064	live
d806932d-5b82-49a3-a1de-f0e6c5427e8a	unc.edu.f40b4aa3-b474-4c2e-a197-0347e46d3309.1151278.rsem.isoforms.results	692be5902066b3ad181fb5f2a179445c	2453277	live
5fdda65f-746d-453f-a187-e02dadee2535	unc.edu.91a5b906-6a04-4f0d-8710-172311e84789.1765656.bt.exon_quantification.txt	804510d76f11fc7cfbb9627064455aa2	12708312	live
90c72aa3-944a-4687-b35f-2ef92a0b30d7	unc.edu.803bb42f-e0f2-44b6-aebb-8f956646ecc7.1141846.rsem.isoforms.normalized_results	cb7b9df22ffb41245915cb7918a66054	1380099	live
8e3ea77a-5262-42d3-abb4-60b6fc9bd83f	unc.edu.0d029d04-13cd-4870-a9e3-9d2e65c9b0b7.1133571.rsem.isoforms.results	012eea982cf3f429d9933bb7a8b606f8	2472539	live
26675597-7792-44a8-82d2-fe73a6a0d20d	unc.edu.53c8bbbd-16cd-4790-a99b-f45b0f958157.1119487.rsem.isoforms.normalized_results	2ad48648359b9eee84fc2231c221af0d	1382929	live
a83f43b5-aa17-4b84-8861-3b7625f2c30e	UNCID_559895.TCGA-D8-A1XW-01A-11R-A14M-07.111006_UNC11-SN627_0157_AB01YAABXX.8.trimmed.annotated.translated_to_genomic.spljxn.quantification.txt	adf6b6c1f0c044c559746e41ada2a5e6	8999384	live
7bdb2c8f-bdf7-4867-bfa6-fe40dceccaaa	unc.edu.a2405d64-34eb-4915-abf7-8530151d5cb0.1170245.rsem.isoforms.normalized_results	df06a92e6c95af60d9a173e603a88b98	1383129	live
fc1d5df9-401c-40e7-9d88-bbfde0a70cad	unc.edu.81589acc-5dae-4cad-9f97-88b81fa53f92.1142114.rsem.genes.normalized_results	d2a7f4263947f5a385a7649da28913d5	434813	live
a533ad04-91f4-40be-80bd-31a29bb83ec4	unc.edu.204a78d9-67aa-4e49-b285-bbb25c6ed142.1287879.rsem.genes.normalized_results	e43016a15982fa972f318536d149f3bc	435636	live
7fa1ecb0-6745-4691-b801-1a534e3ff959	unc.edu.5427eb83-38f3-4258-b241-25efae8fa70a.1102519.rsem.isoforms.results	68eb77dcedd996c311be350ac8ad5142	2546536	live
276c91d1-0881-4fa8-8e58-e1a38b6dbfa9	unc.edu.2f2fe990-f8f6-4904-b3d5-083e17a7a29d.1761893.bt.exon_quantification.txt	933947c6e71db638c2c7e2d665d4a61f	12657207	live
a21e0872-777a-44c3-a135-a52a5d7775ed	unc.edu.461cbf67-a11d-4411-95b5-cf83ecf05d02.1283313.rsem.genes.results	c80653d4b67024f44e0f4b236d52961f	1524900	live
3b838e69-3d61-4771-ae12-a1c717a06709	unc.edu.d151b46a-1e20-455a-bab3-9c698cee312d.1387178.rsem.isoforms.normalized_results	e329d994f37a051f53f36c488c1c17ba	1382767	live
5309a886-49be-47ba-a6d1-76e2a09a7cec	UNCID_442725.TCGA-B6-A0X7-01A-11R-A10J-07.110509_UNC14-SN744_0110_AC02MVABXX.7.trimmed.annotated.gene.quantification.txt	256d1ea0ccef6131414861eeca2e2c6c	995925	live
9a53492d-8776-43af-a4a7-151f89371915	unc.edu.f75e5efb-056f-40bf-afed-33d971478ca4.1130406.rsem.genes.normalized_results	0a65459052940d3229a905f3f53d93ed	436112	live
f7a7a1ed-7fe0-46e4-8785-1ac02cd5fd27	UNCID_559915.TCGA-D8-A1XL-01A-11R-A14M-07.111006_UNC11-SN627_0157_AB01YAABXX.1.trimmed.annotated.translated_to_genomic.exon.quantification.txt	fff459059476b4e20021287e8f1b2ebc	13635804	live
08662147-3c2b-4543-999a-ad27bcce600e	unc.edu.0f3672e4-ab71-4cb6-9d46-3ae57b58e249.2389559.rsem.genes.normalized_results	866ffd33f5f1be278935924e28ceb8e6	436852	live
3f91faf5-7f53-4a84-a6bd-39cc498f2bf4	unc.edu.8bbaef6c-31c4-47a4-8e7b-7e6242d02666.1149644.rsem.genes.results	a8346a1a7b3e48f170fd432b8c0e72d5	1519560	live
4c402404-bc59-4efe-bc6e-17bfad5ffbe2	unc.edu.c83d9436-3f08-4197-9392-ff33fe4c632e.2397370.rsem.isoforms.results	6cb778df0eada0df2315e2d8c4db1ce3	2531403	live
