id	filename	md5	size	state
1cd11480-8e25-4d12-b643-175be0cdf019	TCGA-BRCA.1609caae-f341-4227-ac2a-a76a6c253e95.ascat2.allelic_specific.seg.txt	b3b357d1c25105c33864eb7a39da8bfb	4722	released
f1aabba9-f7f6-4e27-b3aa-c921210d63c6	TCGA-BRCA.c5f3f2c3-0c41-4b3d-91d5-767a54746db9.gene_level_copy_number.tsv	28c5cafc616d6bce9d4cb3ca6bc480cd	3483175	released
3b1ef72d-4758-4bda-8c6c-8ca88168d8b6	TCGA-BRCA.5a5c03bd-ebac-4ee3-b6dd-d5d488bb5611.gene_level_copy_number.tsv	9e9b24e397a393bd2acb7130f25f14b9	3482990	released
ca5db39d-add2-4e04-9f94-2de36b08ecf6	TCGA-BRCA.fb139187-1f6a-4354-8e25-279dc4960116.gene_level_copy_number.tsv	f919d19b0549399cb7befa7abf802c1c	3482902	released
9b7d1256-a687-446f-89b5-96d198009fcc	TCGA-BRCA.23c38a57-6a93-4845-8c80-53d2fb835d37.ascat2.allelic_specific.seg.txt	eedda70cc2206f05c8900b834e53d281	20468	released
831bcb9b-5828-4405-84f2-43a14f23b054	TCGA-BRCA.a96dcbf3-d86b-4747-810d-f6d9751d273e.gene_level_copy_number.tsv	89149a4bb3fab20a7e9e6498a57d51f5	3482391	released
e3472512-8867-4d9e-bfd5-9a15c13ffc2f	TCGA-BRCA.3f92a9cb-5bd0-44b4-bc75-efe4b8c29b92.ascat2.allelic_specific.seg.txt	83877b7ef68278e76510db12f7d9994a	7176	released
f280e0c5-dfdb-41f3-aaf3-07e3b8560a55	TCGA-BRCA.136bb2dd-32dc-434d-978c-310c93fa1dd8.gene_level_copy_number.tsv	8a6a4d1185d28b88d4062a7f16fcf68b	3482263	released
49456fff-6cee-437d-a181-b24a700784fe	TCGA-BRCA.ff8bc49a-9c34-45ab-864b-0e052fd6e594.ascat2.allelic_specific.seg.txt	7ffcc5e16ee78d0afe8206620631f2dc	9512	released
d1822839-0b1d-48e0-8667-544b24584044	TCGA-BRCA.a1eac6e1-39d3-4e29-a381-1bd7848b7bc2.ascat2.allelic_specific.seg.txt	bda42fb5d27a2d6b45df48f46fbef084	5366	released
11e63c22-18c3-413a-8f6b-bbc51bf99c53	TCGA-BRCA.c7064fcd-f96a-4977-8782-9131dfdf843e.gene_level_copy_number.tsv	3ed5f6d1abea701c874cfd82a783a4c5	3482317	released
82ceeb3e-0bf4-495a-927a-4e9af6fcd31b	TCGA-BRCA.947bb0f4-c580-43da-967d-1026abbd4e32.ascat2.allelic_specific.seg.txt	0b2d7ef92d521482c8ece20ee9663930	31480	released
38a6c04b-10ac-4b2d-ac80-1eca77e9b6ed	TCGA-BRCA.c70418fa-6b66-401e-b1c4-330100fe60a0.ascat2.allelic_specific.seg.txt	309b6b48cb5e5a977729d6f805d001f4	16199	released
9f48bb1b-1fb0-4fef-b320-e46c10900466	TCGA-BRCA.5152cac8-5c7e-419c-a4da-46a1607db2e8.ascat2.allelic_specific.seg.txt	0a216252d81d835a0ceb27785d1eec0e	10330	released
74455c9c-266c-4517-bf45-15e2f42c2865	TCGA-BRCA.e96765f9-45a3-446f-924a-45202dd4b7db.ascat2.allelic_specific.seg.txt	901c67eb03b498518b9ab91f271a4c2a	5045	released
28b1f0a6-d01e-442f-ae42-765ec1ce7ccc	TCGA-BRCA.de637c67-c60e-4b6f-99cf-0bcef33204cc.ascat2.allelic_specific.seg.txt	ef073fe89175812b426cc9a5fbeca0d7	16716	released
